time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T21:37:48.720Z,36.88855362,-97.4458313,5,2.83,ml,64,136.1703796,0.1267106682,0.6591424252,ok,ok2020ulms,2020-10-17T22:06:38.040Z,"9 km N of Nardin, Oklahoma",earthquake,2.037455947,,,44,automatic,ok,ok
2020-10-17T20:59:29.110Z,-25.5675,179.8918,508.9,4.4,mb,,165,4.143,0.81,us,us6000c91n,2020-10-17T21:18:24.040Z,"south of the Fiji Islands",earthquake,15.1,11.7,0.102,28,reviewed,us,us
2020-10-17T20:58:32.126Z,-6.081,122.5387,10,4.5,mb,,70,2.555,0.85,us,us6000c91p,2020-10-17T21:49:03.040Z,"126 km S of Katabu, Indonesia",earthquake,2.8,1.9,0.125,19,reviewed,us,us
2020-10-17T20:40:49.770Z,17.8438,-66.8563,13,2.5,md,21,227,0.1333,0.16,pr,pr2020291008,2020-10-17T21:05:24.388Z,"15 km SSE of Guánica, Puerto Rico",earthquake,0.61,0.4,0.16,7,reviewed,pr,pr
2020-10-17T20:31:59.723Z,39.1278,23.3958,10,4,mb,,49,1.199,0.78,us,us6000c91f,2020-10-18T08:28:49.182Z,"9 km WSW of Skiáthos, Greece",earthquake,3,2,0.299,3,reviewed,us,us
2020-10-17T19:49:35.422Z,65.4054,-163.4263,8.5,3,ml,,,,1.4,ak,ak020ddkzsz4,2020-10-17T19:54:41.737Z,"80 km N of White Mountain, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-17T17:54:58.814Z,-3.2615,100.3004,10,5.3,mb,,27,2.865,0.88,us,us6000c90z,2020-10-17T18:32:03.040Z,"180 km SW of Sungai Penuh, Indonesia",earthquake,5,1.7,0.055,113,reviewed,us,us
2020-10-17T17:21:09.947Z,54.0404,86.1075,10,4.7,mb,,69,0.766,1.05,us,us6000c90v,2020-10-18T06:25:23.330Z,"15 km SW of Artyshta, Russia",earthquake,7.4,1.9,0.07,62,reviewed,us,us
2020-10-17T15:03:13.076Z,23.2621,120.3029,10,4.4,mb,,59,0.302,1,us,us6000c903,2020-10-18T08:28:13.559Z,"22 km NW of Yujing, Taiwan",earthquake,2.5,1.9,0.11,24,reviewed,us,us
2020-10-17T14:58:16.090Z,4.5963,125.8196,173.63,4.6,mb,,116,2.468,0.52,us,us6000c8zz,2020-10-17T15:20:18.040Z,"97 km SSE of Sarangani, Philippines",earthquake,10.2,10.4,0.133,17,reviewed,us,us
